COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Afghanistan,AFG,7.8,Very High,7,4.019900498,7.6,5.6,8.8,7.3,0,0,0,8.7,6.1,8.9,9.7,7.5,8.3,8.1,8.9,8.9,5.7,8.4,10,1.9,4.3,2.7,7.3,4.4,7.4,7.9,7.1,8.7,6.8,6.7,5.8,7.9,4,0.078431373,YES,0.402985075
Albania,ALB,2.9,Low,126,3.333333333,3.5,5.5,8.3,4.6,6.8,0,7.4,3.9,3.7,0.9,0.1,1.7,2.1,2,1.9,1.3,2.9,2.2,3.7,0.2,0.5,0,1.1,0.5,3.3,4.4,3.5,5.2,2.1,1.8,1.4,3.2,5,0.098039216,,0.375
Algeria,DZA,3.5,Medium,95,2.473429952,3.2,3.3,7.9,3.6,1.4,0,0.7,2.6,3.6,3.1,2.6,3.5,3.1,2.4,2.9,3.4,0.2,3.8,6.1,0.3,1.2,0.1,0,0.4,4.4,4.8,3.1,6.5,4,2.8,4.1,5.1,0,0,,0.463768116
Angola,AGO,5.5,High,32,2.473429952,4.4,2.9,0.1,3.9,0,0,3.4,3.7,6.8,5.6,7.5,2.7,5.5,5.7,8,6.8,0.1,5.2,4.7,4.4,4.7,7.5,5.7,5.7,7,6.8,6.7,6.9,7.1,5.8,7.8,7.8,0,0,,0.463768116
Antigua and Barbuda,ATG,2,Very Low,174,6.300653595,2,3.7,5.1,0,0,8.2,4.3,0,3.7,0,0,0,1.2,1.1,1.5,x,0.3,1.3,0.8,0,0.7,0,5.1,1.7,3.4,5.3,6.3,4.2,1,0.3,0.2,2.4,19,0.37254902,,0.431372549
Argentina,ARG,3,Low,117,3.97037037,2.6,4.3,5.5,7.7,0,0,3.7,5.6,4.4,0.6,0.2,0.9,2.7,1.4,0.8,3.9,0.1,3.9,6,0.3,0.6,1.9,0.9,0.9,4,5.6,5,6.1,2,1.5,3,1.4,6,0.117647059,,0.444444444
Armenia,ARM,3.1,Low,113,3.267661692,3,3.7,7.3,5.3,0,0,0,5.4,4.1,2.3,0.4,3.9,3.8,1.7,1.2,1.7,2.5,5.4,8,0.4,0.7,0.3,1,0.6,2.7,3.7,2,5.4,1.5,1.4,1.2,1.8,3,0.058823529,,0.462686567
Australia,AUS,2.5,Low,149,4.147126437,2.9,4.7,0.1,5.4,5.7,4.1,6.2,6.2,3.5,0.6,0.1,1,2.1,0.4,0,1.6,0,3.6,5.9,0.1,0.3,0.3,0.8,0.4,2.5,3.2,4.3,2.1,1.7,1.8,3,0.2,9,0.176470588,,0.327586207
Austria,AUT,2.4,Low,155,4.573584906,1.4,2.5,3.9,7.2,0,0,0,1.7,1.5,0.2,0.1,0.3,3.2,0.3,0,1,0.1,5.3,8,0.1,0.2,0,0,0.1,3,4.8,6.7,2.8,0.6,1.5,0,0.4,13,0.254901961,,0.20754717
Azerbaijan,AZE,4.4,Medium,64,3.707103825,3.6,4.1,7.8,6.6,0,0,0,5.3,4.3,3,1.4,4.3,4.9,2.6,2.8,4.4,0.4,6.6,9.2,0.4,1.3,0,0.6,0.6,4.8,6.5,x,6.5,2.4,1.5,2.6,3.2,8,0.156862745,,0.295081967
Bahamas,BHS,2.3,Low,158,6.300653595,2,3.5,0.1,0,0,7.4,6.1,1.7,5,0.1,0.1,0,1.9,1.9,1.6,4.4,0.1,1.9,1.9,0.5,1,0,5.1,1.9,3.2,4,x,4,2.3,1.9,2,3,16,0.31372549,,0.431372549
Bahrain,BHR,1.8,Very Low,180,6.300653595,2.1,1.6,0.1,0,0,0,5.3,0,4.1,2.5,0.3,4.3,0.8,0.7,0.2,2.4,0,0.9,1.2,0.1,0.5,0,1.2,0.5,3.4,5.2,6.2,4.2,1.1,0.8,0,2.6,16,0.31372549,,0.431372549
Bangladesh,BGD,6,High,23,2.393034826,7.8,8.1,8.9,9.9,8.1,7.9,8.9,2.4,7,7.4,8.8,5.1,6.1,4.6,6.3,4.4,1.3,7.3,8.1,1.9,3.6,10,3.7,6.2,4.6,4.8,2.5,7.1,4.4,3.8,4.4,4.9,3,0.058823529,,0.208955224
Barbados,BRB,2.1,Very Low,166,4.910691824,2.4,4.3,5.4,0,3.7,8.1,1.5,0.5,6.6,0,0,0,1.5,2.4,2.6,3.9,0.3,0.5,0,0.6,0.8,0.9,1.3,0.9,2.5,3.2,2.7,3.7,1.8,2.3,0.2,3,12,0.235294118,,0.320754717
Belarus,BLR,2.6,Low,140,4.088888889,2.4,1.9,0.1,5.8,0,0,0,2.2,3.5,2.9,0.1,5,2.4,1.3,2,0.7,0.3,3.3,5.4,0.4,0.2,0,0.8,0.4,3.2,5,3.1,6.9,0.9,1.2,0.1,1.4,8,0.156862745,,0.366666667
Belgium,BEL,2.6,Low,140,3.846327684,2,3.4,2.9,6.2,0,0,7.7,1.3,1.7,0.3,0.1,0.4,2.6,0.2,0,0.5,0.4,4.5,7.2,0.2,0.3,0,0,0.1,3.3,5.2,7.3,3,0.9,1.8,0,0.8,9,0.176470588,,0.271186441
Belize,BLZ,3.6,Medium,89,6.020338983,2.1,3.8,2,2.2,3,5,6,2.2,4.8,0.1,0.1,0,4.8,4.1,4.3,6.1,1.7,5.4,5.3,0.7,0.9,10,1.8,5.4,4.8,5.8,x,5.8,3.7,3,3,5.1,8,0.156862745,,0.728813559
Benin,BEN,5.3,High,39,1.657971014,4,3.1,0.1,6.6,0,0,1.9,0.9,7.5,4.8,5.2,4.3,5.2,6.3,8.8,5.6,2.1,3.8,4.2,4.2,5.3,0.1,2.5,3.3,7,6.8,8,5.5,7.2,6.1,8.1,7.3,1,0.019607843,,0.260869565
Bhutan,BTN,2.9,Low,126,3.84516129,2,2.8,6.8,4.2,0,0,0,0,5,1.1,0.1,2,2.7,4.1,4.4,2.7,4.9,1.1,0,1.5,2.3,0,4.2,2.1,4.3,4.7,6,3.4,3.9,3,4.1,4.6,7,0.137254902,,0.370967742
Bolivia,BOL,4.2,Medium,74,3.712820513,3,4.6,7.1,5.5,0,0,0,7,7.4,1.1,0.3,1.8,4.6,4,5,4.8,1.1,5.2,4.3,0.8,1.3,9.6,6.2,5.9,5.2,6.1,5.3,6.8,4.2,2.3,4.6,5.6,5,0.098039216,,0.446153846
Bosnia and Herzegovina,BIH,3.5,Medium,95,4.956321839,2.5,2.9,6,5.9,0.3,0,0,3.1,2.4,2,0.1,3.5,3.6,2.6,2.9,2,2.7,4.5,7,0.2,0.5,0.3,1,0.5,4.9,6.8,x,6.8,2.1,1.6,1.3,3.5,11,0.215686275,,0.379310345
Botswana,BWA,3,Low,117,2.441025641,1.3,2.3,0.1,3.6,0,0,0,5.9,4,0.2,0.1,0.2,4,4.8,5.6,6.8,1.1,3.2,1.3,5.2,3,4.5,6,4.8,5.2,6.2,8.2,4.2,4,2.3,4.4,5.4,3,0.058823529,,0.307692308
Brazil,BRA,5.2,High,42,4.238095238,6.8,4.1,0.5,7.7,0,0,5,4.5,6.4,8.4,10,4.7,4.1,3.4,3.7,6,0.1,4.7,7,0.6,1,1.5,1,1,4.9,6.4,x,6.4,3,2,3.4,3.7,7,0.137254902,,0.285714286
Brunei Darussalam,BRN,2.3,Low,158,6.405228758,1.6,2.9,0.1,4.8,1.9,0,3.3,2.6,5.6,0,0,0,3,1.7,1.5,3.7,0,4.1,6.3,0.6,0.7,0,2,0.9,2.6,3.1,x,3.1,2.1,1.2,2.4,2.7,17,0.333333333,,0.450980392
Bulgaria,BGR,2.6,Low,140,3.670056497,1.9,3.2,6.2,5.1,0,0,2.9,2.8,3.3,0.5,0.1,0.8,3.1,1.9,2,3.1,0.5,4.2,6.5,0.2,0.5,0.1,2,0.7,3,4.4,3.5,5.3,1.3,1.6,1.3,1,8,0.156862745,,0.288135593
Burkina Faso,BFA,7.5,Very High,11,2.169082126,8.1,2.9,0.1,2.2,0,0,0,6.3,7.3,10,10,9.9,7.4,6.8,9.2,5.4,3.2,8,9.8,3,5,3.7,3.8,3.9,7.1,6.5,6.6,6.3,7.6,7.6,9,6.2,1,0.019607843,YES,0.275362319
Burundi,BDI,5.9,High,26,2.185915493,5.2,2.9,4.5,2.6,0,0,0,3.9,6.7,6.9,7.3,6.5,6.4,7.3,9.7,4.9,4.9,5.4,6.1,2.8,5,1.8,7.4,4.6,6.3,5.3,2.7,7.9,7.1,7.5,7.1,6.7,2,0.039215686,,0.309859155
Cabo Verde,CPV,2.2,Low,161,4.117514124,0.8,1.6,0.1,0,0,0,0,4.9,4.3,0,0,0,3.3,4.6,4.8,4.4,4.3,1.7,1.1,1.4,0.9,2.2,4,2.2,4.1,4.8,5.1,4.4,3.3,2.6,2.7,4.7,9,0.176470588,,0.322033898
